schema_id,schema_family_id,schema_seed,structural_class,candidate_signal,candidate_signal_reason,max_depth,first_nonbase_tier_state_cell_count,largest_cell_share,active_action_cell_min,active_action_cell_mean,lift_success_probe_count,lift_failure_probe_count,selected_edge_count,zero_selected_source_count,recommended_for_candidate_discovery,blocking_reason,near_full_collapse_threshold
plate_support_schema_no_contraction_v001,no_contraction,0,flat_control,control_anchor,no-contraction control anchor,1,0,0.1111111111111111,0,0.0,0,0,not_applicable,not_available,False,,0.9
plate_support_schema_upstream_default_v001,upstream_default,0,full_first_projection_collapse,blocked_signal,first non-base tier collapses all observed states,2,1,1.0,0,0.0,0,0,not_applicable,not_available,False,full_first_projection_collapse,0.9
plate_support_schema_plate_motion_actions_v001,action_category,0,construction_failed,blocked_signal,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,0.9
plate_support_schema_arm_extension_actions_v001,action_category,0,construction_failed,blocked_signal,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,0.9
plate_support_schema_motion_vs_support_actions_v001,action_category,0,construction_failed,blocked_signal,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,0.9
plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,construction_failed,blocked_signal,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0,0,0.0,0,0.0,0,0,1,not_available,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0.9
plate_support_schema_edge_global_noisy_rate_002_over_388_v001,edge_global_noisy_rate,0,construction_failed,blocked_signal,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0,0,0.0,0,0.0,0,0,2,not_available,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0.9
plate_support_schema_edge_global_noisy_rate_004_over_388_v001,edge_global_noisy_rate,0,construction_failed,blocked_signal,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0,0,0.0,0,0.0,0,0,4,not_available,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0.9
plate_support_schema_edge_global_noisy_rate_008_over_388_v001,edge_global_noisy_rate,0,construction_failed,blocked_signal,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0,0,0.0,0,0.0,0,0,8,not_available,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0.9
plate_support_schema_position_only_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_orientation_only_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_support_pattern_only_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_reachability_pattern_only_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_position_support_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_full_single_block_v001,controlled_degeneracy,0,construction_failed,degeneracy_anchor,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport,0.9
plate_support_schema_source_local_one_drop_v001,controlled_degeneracy,0,construction_failed,degeneracy_anchor,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport,0.9
