pair_id,arm_id,arm_type,candidate_id,schema_id,run_id,replicate_index,episode_index,step_index,learner_state_key,learner_action_key,reward,next_state_best_value,td_error,old_value,new_value,update_applied
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",0,-1.0,0.0,-1.0,0.0,-0.25,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,1,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",0,-3.0,0.0,-3.0,0.0,-0.75,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,2,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",1,-1.0,0.0,-1.0,0.0,-0.25,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,3,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",1,-1.0,0.0,-1.0,0.0,-0.25,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,4,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",8,-1.0,0.0,-1.0,0.0,-0.25,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,5,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",0,-1.0,0.0,-1.0,0.0,-0.25,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,6,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",0,-1.0,0.0,-1.0,0.0,-0.25,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,7,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",0,-3.0,0.0,-3.0,0.0,-0.75,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,8,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",1,-1.0,0.0,-1.0,0.0,-0.25,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,9,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",1,-1.0,0.0,-1.0,0.0,-0.25,True
pairrep001,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,smoke_001-pairrep001-plate-support-direct-concrete-baseline,1,0,10,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",1,-3.0,0.0,-3.0,0.0,-0.75,True
