candidate_id,schema_id,schema_family_id,schema_seed,selection_status,blocking_reason,eligibility_reason
plate_support_candidate:action_category:0:41c5e8eee3,plate_support_schema_arm_extension_actions_v001,action_category,0,not_selected,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable
plate_support_candidate:action_category:0:909a211621,plate_support_schema_motion_vs_support_actions_v001,action_category,0,not_selected,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable
plate_support_candidate:action_category:0:0fafac3257,plate_support_schema_plate_motion_actions_v001,action_category,0,not_selected,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable
plate_support_candidate:edge_global_noisy_rate:0:ab0911e0d5,plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,not_selected,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_candidate:edge_global_noisy_rate:0:663c867785,plate_support_schema_edge_global_noisy_rate_002_over_388_v001,edge_global_noisy_rate,0,not_selected,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_candidate:edge_global_noisy_rate:0:41cdc80eaf,plate_support_schema_edge_global_noisy_rate_004_over_388_v001,edge_global_noisy_rate,0,not_selected,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_candidate:edge_global_noisy_rate:0:f2d28cb271,plate_support_schema_edge_global_noisy_rate_008_over_388_v001,edge_global_noisy_rate,0,not_selected,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_candidate:geometry_coordinate:0:5a64391002,plate_support_schema_orientation_only_v001,geometry_coordinate,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:geometry_coordinate:0:eb47c0c176,plate_support_schema_position_only_v001,geometry_coordinate,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:geometry_coordinate:0:7b1f67d4c8,plate_support_schema_position_support_v001,geometry_coordinate,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:geometry_coordinate:0:30190c95b0,plate_support_schema_reachability_pattern_only_v001,geometry_coordinate,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:geometry_coordinate:0:cd1f3a4106,plate_support_schema_support_pattern_only_v001,geometry_coordinate,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:upstream_default:0:7293e27b5a,plate_support_schema_upstream_default_v001,upstream_default,0,not_selected,full_first_projection_collapse,blocked: full_first_projection_collapse
