evaluation_id,run_id,candidate_id,instance_id,arm_id,schema_seed,seed_bundle_id,training_replicate_index,episode_index,step_index,controller_event_index,source_state,action_repr,reward,target_state,terminated,truncated,active_tier_before,active_tier_after
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,0,0,1,"beat0:pitches(60, 65, 68)","(0, 0, 1)",1.5305555555555554,"beat1:pitches(60, 65, 69)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,0,1,2,"beat1:pitches(60, 65, 69)","(2, 2, 1)",1.3083333333333331,"beat2:pitches(62, 67, 70)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,0,2,3,"beat2:pitches(62, 67, 70)","(2, 0, 1)",1.4361111111111111,"beat3:pitches(64, 67, 71)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,0,3,4,"beat3:pitches(64, 67, 71)","(0, 0, 0)",1.7111111111111112,"beat0:pitches(64, 67, 71)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,0,4,6,"beat0:pitches(64, 67, 71)","(-2, 0, -1)",1.4249999999999998,"beat1:pitches(62, 67, 70)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,0,5,8,"beat1:pitches(62, 67, 70)","(0, 0, 0)",1.5999999999999999,"beat2:pitches(62, 67, 70)",False,False,0,0
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,0,6,9,"beat2:pitches(62, 67, 70)","(0, 0, 0)",1.5999999999999999,"beat3:pitches(62, 67, 70)",False,False,0,0
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,0,7,11,"beat3:pitches(62, 67, 70)","(2, 0, 1)",2.5361111111111114,"beat0:pitches(64, 67, 71)",True,False,0,0
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,1,0,1,"beat0:pitches(60, 65, 68)","(0, -2, 0)",1.461111111111111,"beat1:pitches(60, 63, 68)",False,False,1,1
counterpoint_noisy_rate_full_tower_training_diagnostic_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-trainrep0,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1,counterpoint_symbolic_n3_small_v001,p001_over_144,1,seed-7fe8666539580bdb,0,1,1,2,"beat1:pitches(60, 63, 68)","(0, 1, 1)",1.461111111111111,"beat2:pitches(60, 64, 69)",False,False,1,1
