schema_id,schema_family_id,schema_seed,selector_rule_id,selection_mode,ratio_numerator,ratio_denominator,max_iterations,iteration_index,component_count_before,candidate_edge_count,selected_edge_count,changed_union_count,component_count_after,block_id,iteration_status,stop_reason,diagnostic_status
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,0,89,388,6,6,83,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 0)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,1,83,376,1,1,82,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 1)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,2,82,374,4,4,78,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 2)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,3,78,364,1,1,77,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 3)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,4,77,362,1,1,76,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 4)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,5,76,358,4,4,72,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 5)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,6,72,350,2,2,70,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 6)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,7,70,346,3,3,67,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 7)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,8,67,336,1,1,66,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 8)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,9,66,334,2,2,64,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 9)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,10,64,328,5,5,59,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 10)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,11,59,316,3,3,56,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 11)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,12,56,308,1,1,55,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 12)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,13,55,304,2,2,53,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 13)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,14,53,298,1,1,52,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 14)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,15,52,296,3,3,49,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 15)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,16,49,286,3,3,46,"('plate-support-source-local-ratio-iterated', 1, 144, 'plate_support_source_local_iterated_stable_rate_v001', 0, 16)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,144,32,17,46,268,0,0,46,,stopped,no_selected_edges,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,0,89,388,10,10,79,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 0)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,1,79,368,4,4,75,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 1)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,2,75,358,8,8,67,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 2)",completed,,ok
