schema_id,schema_family_id,schema_seed,selection_policy_id,selection_rate,selection_count,state_feature_basis,action_category_basis,edge_basis,schema_mode,expected_role,construction_supported,unsupported_reason
plate_support_schema_no_contraction_v001,no_contraction,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,none,flat_control,True,
plate_support_schema_upstream_default_v001,upstream_default,0,upstream_default_plate_support_schema,not_applicable,not_applicable,not_applicable,not_applicable,plate_support_transition,default,reference_noncontrol_schema,True,
plate_support_schema_plate_motion_actions_v001,action_category,0,not_supported,not_applicable,not_applicable,not_applicable,plate_motion,not_applicable,not_supported,unsupported_diagnostic_arm,False,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable
plate_support_schema_arm_extension_actions_v001,action_category,0,not_supported,not_applicable,not_applicable,not_applicable,arm_extension,not_applicable,not_supported,unsupported_diagnostic_arm,False,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable
plate_support_schema_motion_vs_support_actions_v001,action_category,0,not_supported,not_applicable,not_applicable,not_applicable,motion_vs_support,not_applicable,not_supported,unsupported_diagnostic_arm,False,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable
plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,edge_global_noisy_rate,1/388,1,not_applicable,not_applicable,valid_nonself_edges,not_supported,unsupported_diagnostic_arm,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_schema_edge_global_noisy_rate_002_over_388_v001,edge_global_noisy_rate,0,edge_global_noisy_rate,2/388,2,not_applicable,not_applicable,valid_nonself_edges,not_supported,unsupported_diagnostic_arm,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_schema_edge_global_noisy_rate_004_over_388_v001,edge_global_noisy_rate,0,edge_global_noisy_rate,4/388,4,not_applicable,not_applicable,valid_nonself_edges,not_supported,unsupported_diagnostic_arm,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_schema_edge_global_noisy_rate_008_over_388_v001,edge_global_noisy_rate,0,edge_global_noisy_rate,8/388,8,not_applicable,not_applicable,valid_nonself_edges,not_supported,unsupported_diagnostic_arm,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_schema_position_only_v001,geometry_coordinate,0,not_supported,not_applicable,not_applicable,position,not_applicable,not_applicable,not_supported,unsupported_diagnostic_arm,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_schema_orientation_only_v001,geometry_coordinate,0,not_supported,not_applicable,not_applicable,orientation,not_applicable,not_applicable,not_supported,unsupported_diagnostic_arm,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_schema_support_pattern_only_v001,geometry_coordinate,0,not_supported,not_applicable,not_applicable,support_pattern,not_applicable,not_applicable,not_supported,unsupported_diagnostic_arm,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_schema_reachability_pattern_only_v001,geometry_coordinate,0,not_supported,not_applicable,not_applicable,reachability_pattern,not_applicable,not_applicable,not_supported,unsupported_diagnostic_arm,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_schema_position_support_v001,geometry_coordinate,0,not_supported,not_applicable,not_applicable,position_support,not_applicable,not_applicable,not_supported,unsupported_diagnostic_arm,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_schema_full_single_block_v001,controlled_degeneracy,0,full_single_block,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_supported,unsupported_diagnostic_arm,False,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport
plate_support_schema_source_local_one_drop_v001,controlled_degeneracy,0,source_local_one_drop,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_supported,unsupported_diagnostic_arm,False,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport
