arm_id,run_id,control_action,count
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema586944204-rep0,exploit_execute,32
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema586944204-rep0,explore,96
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema586944204-rep0,train,32
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema1640250817-rep1,exploit_execute,35
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema1640250817-rep1,explore,93
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema1640250817-rep1,train,32
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema2115971678-rep2,exploit_execute,32
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema2115971678-rep2,explore,96
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema2115971678-rep2,train,32
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema846157733-rep3,exploit_execute,46
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema846157733-rep3,explore,82
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema846157733-rep3,train,32
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep0,descend,16
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep0,explore,768
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep0,train,240
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep0,descend,32
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep0,explore,752
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep0,train,240
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep0,exploit_execute,32
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep0,explore,96
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep0,train,32
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep1,descend,16
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep1,explore,768
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep1,train,240
