evaluation_id,run_id,arm_id,mode_id,schema_id,schema_seed,seed_bundle_id,replicate_index,status,artifact_root,started_at,ended_at
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep0,direct_masked_random,direct_env_masked_random,,,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:08.395946+00:00,2026-05-31T16:50:08.421890+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,direct_env_masked_random,,,seed-f2dc11649bc773f7,1,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:08.575150+00:00,2026-05-31T16:50:08.590817+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep2,direct_masked_random,direct_env_masked_random,,,seed-3ca872abbb2c8edf,2,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:08.743183+00:00,2026-05-31T16:50:08.760091+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:08.914923+00:00,2026-05-31T16:50:08.931615+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,direct_env_tabular,,,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:09.151269+00:00,2026-05-31T16:50:09.167651+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,direct_env_tabular,,,seed-f2dc11649bc773f7,1,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:09.386428+00:00,2026-05-31T16:50:09.404403+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,direct_env_tabular,,,seed-3ca872abbb2c8edf,2,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:09.629067+00:00,2026-05-31T16:50:09.644388+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:09.872858+00:00,2026-05-31T16:50:09.901596+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema586944204-rep0,tower_empty_exploit_explore_tabular_q,tower_exploit_explore,counterpoint_empty_schema_v001,,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:10.179338+00:00,2026-05-31T16:50:10.224209+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema1640250817-rep1,tower_empty_exploit_explore_tabular_q,tower_exploit_explore,counterpoint_empty_schema_v001,,seed-f2dc11649bc773f7,1,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:10.508220+00:00,2026-05-31T16:50:10.554574+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema2115971678-rep2,tower_empty_exploit_explore_tabular_q,tower_exploit_explore,counterpoint_empty_schema_v001,,seed-3ca872abbb2c8edf,2,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:10.828864+00:00,2026-05-31T16:50:10.877464+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema846157733-rep3,tower_empty_exploit_explore_tabular_q,tower_exploit_explore,counterpoint_empty_schema_v001,,seed-bdc0a4ee553b5fe0,3,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:11.164182+00:00,2026-05-31T16:50:11.209933+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep0,tower_random_balanced_exploit_explore_tabular_q,tower_exploit_explore,counterpoint_random_balanced_schema_v001,0,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:11.638445+00:00,2026-05-31T16:50:11.843576+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep0,tower_random_balanced_exploit_explore_tabular_q,tower_exploit_explore,counterpoint_random_balanced_schema_v001,1,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/pi0_h_evaluation_001/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T16:50:12.263972+00:00,2026-05-31T16:50:12.463623+00:00
