badge_id,label,value,status_class,color,source,reason,path
suite_status,Suite,Limited Signal,yellow,yellow,results/suite_status_summary.csv:suite_status,"Stages 1-7 completed. Stage 6 produced bounded paired comparison status `paired_comparison_positive_signal`, and Stage 7 produced the human readout/system-learning surface.",/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/suite_status.svg
artifacts_complete,Artifacts,Complete,green,green,readout_source.json:source_artifact_root,Source artifacts and generated readouts are repository-resident.,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/artifacts_complete.svg
structural_readiness,Structure,Complete,green,green,stage_status_summary.csv:claim_status,Stage 1 structural diagnostics are represented in the suite status table.,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/structural_readiness.svg
schema_candidates,Candidate,Found,green,green,stage_status_summary.csv:claim_status,"Candidate status is copied from Stage 3, not inferred.",/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/schema_candidates.svg
training_health,Training,Clean,green,green,stage_status_summary.csv:claim_status,Training-health status is copied from Stage 4.,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/training_health.svg
target_calibrated,Target,Calibrated,green,green,stage_status_summary.csv:claim_status,Target calibration status is copied from Stage 5.,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/target_calibrated.svg
paired_comparison,Paired,Positive Signal,green,green,stage_status_summary.csv:claim_status,Paired-comparison status is copied from Stage 6.,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/paired_comparison.svg
provenance_repo_artifacts,Provenance,Repo Artifacts,blue,blue,readout_source.json,Readout was generated from an explicit suite readout source binding.,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/provenance_repo_artifacts.svg
iterated_candidate,Iterated,Candidate,green,green,tower_training_health/candidate_training_health_summary.csv:schema_mode,Stage 4 includes a trainable iterated source-local ratio candidate.,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/iterated_candidate.svg
iterated_tiers,Tiers,17/18,green,green,"tower_training_health/candidate_training_health_summary.csv:nontrivial_tier_count,max_depth",Badge shows nontrivial tier count over max tower depth for the iterated candidate.,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/badges/iterated_tiers.svg
