candidate_id,schema_id,schema_family_id,schema_seed,candidate_role,selection_status,eligibility_score,eligibility_reason,candidate_signal,structural_class,allowed_downstream_stage,source_row_id
plate_support_candidate:no_contraction:0:3348f86d2c,plate_support_schema_no_contraction_v001,no_contraction,0,selected_control_anchor,selected_control_anchor,0,control anchor retained for downstream diagnostics,control_anchor,flat_control,diagnostic_control,stage2_signal_row_0000
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,source_local_ratio,0,eligible_clean_candidate,selected_training_candidate,108,nonflat structured schema with executable action surface,eligible_signal,nonflat_structured,stage4_training_health,stage2_signal_row_0002
plate_support_candidate:controlled_degeneracy:0:1a43a48fbd,plate_support_schema_full_single_block_v001,controlled_degeneracy,0,degeneracy_anchor,selected_degeneracy_anchor,-10,diagnostic degeneracy anchor retained for interpretation only,degeneracy_anchor,construction_failed,diagnostic_only,stage2_signal_row_0015
plate_support_candidate:controlled_degeneracy:0:83c61ab65d,plate_support_schema_source_local_one_drop_v001,controlled_degeneracy,0,degeneracy_anchor,not_selected,-10,diagnostic degeneracy anchor retained for interpretation only,degeneracy_anchor,construction_failed,diagnostic_only,stage2_signal_row_0016
plate_support_candidate:action_category:0:41c5e8eee3,plate_support_schema_arm_extension_actions_v001,action_category,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked_signal,construction_failed,none,stage2_signal_row_0004
plate_support_candidate:action_category:0:909a211621,plate_support_schema_motion_vs_support_actions_v001,action_category,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked_signal,construction_failed,none,stage2_signal_row_0005
plate_support_candidate:action_category:0:0fafac3257,plate_support_schema_plate_motion_actions_v001,action_category,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked_signal,construction_failed,none,stage2_signal_row_0003
plate_support_candidate:edge_global_noisy_rate:0:ab0911e0d5,plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked_signal,construction_failed,none,stage2_signal_row_0006
plate_support_candidate:edge_global_noisy_rate:0:663c867785,plate_support_schema_edge_global_noisy_rate_002_over_388_v001,edge_global_noisy_rate,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked_signal,construction_failed,none,stage2_signal_row_0007
plate_support_candidate:edge_global_noisy_rate:0:41cdc80eaf,plate_support_schema_edge_global_noisy_rate_004_over_388_v001,edge_global_noisy_rate,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked_signal,construction_failed,none,stage2_signal_row_0008
plate_support_candidate:edge_global_noisy_rate:0:f2d28cb271,plate_support_schema_edge_global_noisy_rate_008_over_388_v001,edge_global_noisy_rate,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked_signal,construction_failed,none,stage2_signal_row_0009
plate_support_candidate:geometry_coordinate:0:5a64391002,plate_support_schema_orientation_only_v001,geometry_coordinate,0,blocked_candidate,not_selected,-100,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked_signal,construction_failed,none,stage2_signal_row_0011
plate_support_candidate:geometry_coordinate:0:eb47c0c176,plate_support_schema_position_only_v001,geometry_coordinate,0,blocked_candidate,not_selected,-100,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked_signal,construction_failed,none,stage2_signal_row_0010
plate_support_candidate:geometry_coordinate:0:7b1f67d4c8,plate_support_schema_position_support_v001,geometry_coordinate,0,blocked_candidate,not_selected,-100,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked_signal,construction_failed,none,stage2_signal_row_0014
plate_support_candidate:geometry_coordinate:0:30190c95b0,plate_support_schema_reachability_pattern_only_v001,geometry_coordinate,0,blocked_candidate,not_selected,-100,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked_signal,construction_failed,none,stage2_signal_row_0013
plate_support_candidate:geometry_coordinate:0:cd1f3a4106,plate_support_schema_support_pattern_only_v001,geometry_coordinate,0,blocked_candidate,not_selected,-100,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked_signal,construction_failed,none,stage2_signal_row_0012
plate_support_candidate:upstream_default:0:7293e27b5a,plate_support_schema_upstream_default_v001,upstream_default,0,blocked_candidate,not_selected,-100,blocked: full_first_projection_collapse,blocked_signal,full_first_projection_collapse,none,stage2_signal_row_0001
