candidate_id,schema_id,schema_family_id,schema_seed,schema_mode,selection_rate,ratio_numerator,ratio_denominator,max_iterations,selector_rule_id,selection_mode,max_depth,nontrivial_tier_count,candidate_role,selection_status,eligibility_score,eligibility_reason,candidate_signal,structural_class,allowed_downstream_stage,source_row_id
plate_support_candidate:no_contraction:0:e8f4c3f526,plate_support_schema_no_contraction_v001,no_contraction,0,none,not_applicable,,,,not_applicable,not_applicable,1,0,selected_control_anchor,selected_control_anchor,0,control anchor retained for downstream diagnostics,control_anchor,flat_control,diagnostic_control,stage2_signal_row_0000
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,source_local_ratio_iterated,1/144,1,144,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,18,17,eligible_clean_candidate,selected_training_candidate,124,nonflat structured schema with executable action surface,eligible_signal,nonflat_structured,stage4_training_health,stage2_signal_row_0003
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,source_local_ratio_iterated,1/72,1,72,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,11,10,eligible_clean_candidate,selected_training_candidate,116,nonflat structured schema with executable action surface,eligible_signal,nonflat_structured,stage4_training_health,stage2_signal_row_0004
plate_support_candidate:controlled_degeneracy:0:c5f12e7874,plate_support_schema_full_single_block_v001,controlled_degeneracy,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,degeneracy_anchor,selected_degeneracy_anchor,-10,diagnostic degeneracy anchor retained for interpretation only,degeneracy_anchor,construction_failed,diagnostic_only,stage2_signal_row_0019
plate_support_candidate:source_local_ratio:0:1e20925d18,plate_support_schema_source_local_ratio_001_over_018_v001,source_local_ratio,0,source_local_ratio,1/18,1,18,1,source_local_outgoing_ratio_catch,legacy_source_local_ceil_prefix,2,1,eligible_clean_candidate,not_selected,108,nonflat structured schema with executable action surface,eligible_signal,nonflat_structured,stage4_training_health,stage2_signal_row_0002
plate_support_candidate:source_local_ratio_iterated:0:ee48d72014,plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,source_local_ratio_iterated,1/18,1,18,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,12,10,warning_candidate,not_selected,52,warning candidate: largest non-base tier cell share exceeds threshold,warning_signal,near_full_collapse,stage4_requires_warning_authorization,stage2_signal_row_0006
plate_support_candidate:controlled_degeneracy:0:d5881a72b8,plate_support_schema_source_local_one_drop_v001,controlled_degeneracy,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,degeneracy_anchor,not_selected,-10,diagnostic degeneracy anchor retained for interpretation only,degeneracy_anchor,construction_failed,diagnostic_only,stage2_signal_row_0020
plate_support_candidate:action_category:0:3397fc3c62,plate_support_schema_arm_extension_actions_v001,action_category,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked_signal,construction_failed,none,stage2_signal_row_0008
plate_support_candidate:action_category:0:8225e3cccb,plate_support_schema_motion_vs_support_actions_v001,action_category,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked_signal,construction_failed,none,stage2_signal_row_0009
plate_support_candidate:action_category:0:32e289b48f,plate_support_schema_plate_motion_actions_v001,action_category,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,blocked_candidate,not_selected,-100,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked_signal,construction_failed,none,stage2_signal_row_0007
